,date,fipscode,county,state,effective_concentration_rolling_average,MEAN_of_inpatient_beds_used_covid_7_day_avg,MEAN_of_total_beds_7_day_avg,Perc_used_covid_over_pop,MEAN_of_pop_2019,mean_household_income_2019,poverty_2019
2292,2022-02-25,13185,Lowndes County,GA,109.61550227296316,52.2,304.0,0.0452480843,115364.0,61180,24.4
2301,2022-02-25,12086,Miami-Dade County,FL,80.13698577882433,21.1999999999999,293.221052631578,0.0007853516,2699428.0,79100,17.1
2310,2022-02-25,22033,East Baton Rouge Parish,LA,157.33925313455038,9.2125,,0.0020759955,443763.0,82340,18.0
2322,2022-02-25,51660,Harrisonburg city,VA,168.22053337521575,17.9,262.0,0.0336005106,53273.0,65667,28.3
2337,2022-02-25,23029,Washington County,ME,588.1285617030956,0.0,,,31491.0,56280,18.9
2342,2022-02-25,18157,Tippecanoe County,IN,134.79044615630448,20.9,151.649999999999,0.0109108184,191553.0,71389,18.7
2366,2022-02-25,28049,Hinds County,MS,176.69603826207003,30.4666666666666,283.6,0.0127583959,238797.0,61247,21.3
2370,2022-02-25,25025,Suffolk County,MA,116.5159375749806,10.5230769230769,,0.0013209906,796605.0,104274,18.2
2377,2022-02-25,16057,Latah County,ID,597.9292028378626,,22.0,,39505.0,66546,18.1
2379,2022-03-04,37051,Cumberland County,NC,148.14798791445463,23.55,426.15,0.0070750253,332861.0,61346,18.4
2423,2022-03-04,51660,Harrisonburg city,VA,150.24352213249475,10.6,262.0,0.0198975091,53273.0,65667,28.3
2424,2022-03-04,18157,Tippecanoe County,IN,70.57124438746746,15.5,153.05,0.0080917553,191553.0,71389,18.7
2432,2022-03-04,16057,Latah County,ID,204.57049705917584,,22.0,,39505.0,66546,18.1
2435,2022-03-04,25025,Suffolk County,MA,116.07994841005888,8.35833333333333,,0.0010492444,796605.0,104274,18.2
2450,2022-03-04,28049,Hinds County,MS,64.5253601979874,24.2333333333333,283.6,0.0101480895,238797.0,61247,21.3
2460,2022-03-04,12086,Miami-Dade County,FL,80.57625030345672,19.7357142857142,279.152631578947,0.0007311073,2699428.0,79100,17.1
2461,2022-03-04,23029,Washington County,ME,356.5528192409581,0.0,,,31491.0,56280,18.9
2469,2022-03-04,22033,East Baton Rouge Parish,LA,110.36981499085697,6.18571428571428,,0.0013939229,443763.0,82340,18.0
2478,2022-03-11,18157,Tippecanoe County,IN,83.15443680049583,9.7,154.1,0.0050638727,191553.0,71389,18.7
2495,2022-03-11,23029,Washington County,ME,420.5379504850214,0.0,,,31491.0,56280,18.9
2496,2022-03-11,12086,Miami-Dade County,FL,84.06252773528105,17.9083333333333,299.023529411764,0.0006634122,2699428.0,79100,17.1
2499,2022-03-11,28049,Hinds County,MS,84.11930782514602,21.34,283.6,0.0089364607,238797.0,61247,21.3
2515,2022-03-11,25025,Suffolk County,MA,126.98679569370532,7.0,,0.0008787291,796605.0,104274,18.2
2520,2022-03-11,16057,Latah County,ID,61.77563390238057,,22.0,,39505.0,66546,18.1
2526,2022-03-11,51660,Harrisonburg city,VA,103.20898404497662,7.4,262.0,0.0138907139,53273.0,65667,28.3
2529,2022-03-11,22033,East Baton Rouge Parish,LA,106.65745402047462,4.0,,0.000901382,443763.0,82340,18.0
2537,2022-03-11,37051,Cumberland County,NC,93.05867522446414,31.6,425.3,0.0094934522,332861.0,61346,18.4
2549,2022-03-11,13185,Lowndes County,GA,38.41284892424999,13.0,304.0,0.01126868,115364.0,61180,24.4
2571,2022-03-18,13185,Lowndes County,GA,32.33637681605946,13.1,304.0,0.0113553622,115364.0,61180,24.4
2579,2022-03-18,28049,Hinds County,MS,53.92865803045999,17.24,283.6,0.0072195212,238797.0,61247,21.3
2588,2022-03-18,25025,Suffolk County,MA,146.34491305375477,5.25833333333333,,0.0006600929,796605.0,104274,18.2
2599,2022-03-18,12086,Miami-Dade County,FL,106.40334989108167,19.6777777777777,306.976470588235,0.000728961,2699428.0,79100,17.1
2608,2022-03-18,18157,Tippecanoe County,IN,95.32685576644016,8.1,159.95,0.0042285947,191553.0,71389,18.7
2632,2022-03-18,23029,Washington County,ME,806.2903245392458,,,,31491.0,56280,18.9
2640,2022-03-18,51660,Harrisonburg city,VA,94.85986007216512,4.6,262.0,0.0086347681,53273.0,65667,28.3
2662,2022-03-18,22033,East Baton Rouge Parish,LA,128.3371454567895,1.42857142857142,,0.0003219222,443763.0,82340,18.0
2663,2022-03-18,16057,Latah County,ID,33.818003714489414,0.0,22.0,,39505.0,66546,18.1
